name,molecule,ksize,sigma,expected_collisions,n_unique_kmers,n_theoretical_kmers_log10,n_unique_kmers_log10,unique_over_theoretical_log10
swissprot,protein20,2,20,2.56000119808035e-26,400,2.6020599913279625,2.6020599913279625,0.0
swissprot,protein20,3,20,4.09600191692856e-21,8000,3.9030899869919438,3.9030899869919438,0.0
swissprot,protein20,4,20,6.551309607050796e-16,159999,5.204119982655925,5.2041172683069306,-2.7143489944592147e-06
swissprot,protein20,5,20,9.376162747165785e-11,3116754,6.505149978319906,6.49370252551757,-0.0114474528023365
swissprot,protein20,6,20,1.1433480724046692e-06,33246370,7.8061799739838875,7.5217442338487315,-0.28443574013515605
swissprot,protein20,7,20,4.54348327670593e-05,85664540,9.107209969647869,7.9328010871595405,-1.1744088824883283
swissprot,protein20,8,20,9.14831725057171e-05,102918943,10.40823996531185,8.012495317262127,-2.395744648049723
swissprot,protein20,9,20,0.00010958141226005146,107937780,11.709269960975831,8.033173481510698,-3.6760964794651336
swissprot,protein20,10,20,0.00012227508885673575,111107835,13.010299956639813,8.045744685199093,-4.9645552714407195
swissprot,protein20,11,20,0.00013342005405332595,113700258,14.311329952303794,8.055761450156945,-6.255568502146849
swissprot,protein20,12,20,0.00014348409477190168,115912449,15.612359947967775,8.06413008170703,-7.548229866260746
swissprot,protein20,13,20,0.0001526453293628885,117830673,16.913389943631756,8.07125835819858,-8.842131585433176
swissprot,protein20,14,20,0.0001610060937260609,119507722,18.214419939295738,8.077395968159802,-10.137023971135935
swissprot,protein20,15,20,0.00016860881730963685,120980480,19.51544993495972,8.08271530327381,-11.432734631685909
swissprot,protein20,16,20,0.00017552621022549067,122277936,20.8164799306237,8.08734809940819,-12.72913183121551
swissprot,protein20,17,20,0.00018181398242404564,123426668,22.11750992628768,8.09140900502911,-14.026100921258571
swissprot,protein20,18,20,0.0001875039143539311,124446810,23.418539921951663,8.094983768625179,-15.323556153326484
swissprot,protein20,19,20,0.00019268646588527412,125353534,24.719569917615644,8.09813658221178,-16.621433335403864
swissprot,protein20,20,20,0.0001973588902358449,126159867,26.020599913279625,8.100921222480038,-17.919678690799586
swissprot,protein20,21,20,0.00020163584460529467,126878721,27.321629908943606,8.10338879209331,-19.218241116850294
swissprot,protein20,22,20,0.000205496334992098,127518875,28.622659904607588,8.105574472626007,-20.51708543198158
swissprot,protein20,23,20,0.00020894148324749877,128089528,29.92368990027157,8.10751362531285,-21.81617627495872
swissprot,protein20,24,20,0.00021206827083889958,128598111,31.22471989593555,8.109234589207942,-23.115485306727606
swissprot,protein20,25,20,0.00021488931844150812,129050181,32.52574989159953,8.11075861800229,-24.41499127359724
swissprot,protein20,26,20,0.00021741238665518473,129451721,33.82677988726351,8.112107828550998,-25.714672058712516
swissprot,protein20,27,20,0.00021964971236604794,129806937,35.127809882927494,8.113297902174049,-27.014511980753447
swissprot,protein20,28,20,0.00022165365527370684,130120118,36.428839878591475,8.11434444845185,-28.314495430139623
swissprot,protein20,29,20,0.00022340012883654924,130395091,37.729869874255456,8.115261241765978,-29.614608632489478
swissprot,protein20,30,20,0.00022498074167689425,130634140,39.03089986991944,8.11605669053798,-30.914843179381457
swissprot,protein20,31,20,0.00022628062463991657,130841495,40.33192986558342,8.1167454977469,-32.21518436783652
swissprot,protein20,32,20,0.00022744339377932574,131019185,41.6329598612474,8.117334893591543,-33.51562496765585
swissprot,protein20,33,20,0.00022840476246997448,131170230,42.93398985691138,8.117835280056617,-34.816154576854764
swissprot,protein20,34,20,0.00022927693845041017,131296250,44.23501985257536,8.118252322223794,-36.11676753035157
swissprot,protein20,35,20,0.00022988831362022525,131398582,45.536049848239344,8.118590678519817,-37.41745916971953
swissprot,protein20,36,20,0.00023041239432980835,131479374,46.837079843903325,8.118857627650286,-38.71822221625304
swissprot,protein20,37,20,0.0002308564596693243,131539731,48.138109839567306,8.119056949387803,-40.0190528901795
swissprot,protein20,38,20,0.0002311372852622023,131581403,49.43913983523129,8.119194512794634,-41.31994532243665
swissprot,protein20,39,20,0.00023128806786594996,131605619,50.74016983089527,8.119274432200413,-42.620895398694856
swissprot,protein20,40,20,0.00023131344055118467,131613811,52.04119982655925,8.11930146470631,-43.92189836185294
swissprot,protein20,41,20,0.00023127959826514698,131606554,53.34222982222323,8.119277517660603,-45.222952304562625
swissprot,protein20,42,20,0.00023116491022065437,131585032,54.64325981788721,8.119206490421453,-46.52405332746576
swissprot,protein20,43,20,0.0002309548757486508,131549916,55.944289813551194,8.119090575107027,-47.82519923844417
swissprot,protein20,44,20,0.0002305957099957327,131501719,57.245319809215175,8.118931429991822,-49.12638837922336
swissprot,protein20,45,20,0.00023018693546531446,131441553,58.546349804879156,8.118732681706266,-50.427617123172894
swissprot,protein20,46,20,0.00022968056771089087,131369814,59.84737980054314,8.11849558501622,-51.72888421552692
swissprot,protein20,47,20,0.00022918340287935075,131287272,61.14840979620712,8.11822262427603,-53.03018717193109
swissprot,protein20,48,20,0.00022857600752749932,131194459,62.4494397918711,8.117915492992834,-54.331524298878264
swissprot,protein20,49,20,0.0002279032158317959,131091527,63.75046978753508,8.117574622307458,-55.63289516522762
swissprot,protein20,50,20,0.00022718588164270646,130979264,65.05149978319906,8.11720254570771,-56.93429723749135
swissprot,dayhoff6,2,6,1.6796167860605182e-30,36,1.5563025007672873,1.5563025007672873,0.0
swissprot,dayhoff6,3,6,2.1767833547344315e-27,216,2.3344537511509307,2.3344537511509307,0.0
swissprot,dayhoff6,4,6,2.8211112277358237e-24,1296,3.1126050015345745,3.1126050015345745,0.0
swissprot,dayhoff6,5,6,3.656160151145627e-21,7776,3.8907562519182184,3.890756251918218,-4.440892098500626e-16
swissprot,dayhoff6,6,6,4.682973330340538e-18,46519,4.668907502301861,4.667630370305125,-0.0012771319967361805
swissprot,dayhoff6,7,6,4.886080197427302e-15,264425,5.447058752685505,5.42230251302532,-0.02475623966018503
swissprot,dayhoff6,8,6,2.74878179048779e-12,1288460,6.225210003069149,6.1100709405051425,-0.11513906256400652
swissprot,dayhoff6,9,6,5.858881479563309e-10,4932075,7.003361253452793,6.693029672108302,-0.31033158134449135
swissprot,dayhoff6,10,6,4.3329596334309784e-08,14532433,7.781512503836437,7.162338329371597,-0.61917417446484
swissprot,dayhoff6,11,6,1.121137880116762e-06,33079768,8.55966375422008,7.519562455031866,-1.0401012991882146
swissprot,dayhoff6,12,6,9.4681478157253e-06,57069795,9.337815004603723,7.756406312525677,-1.5814086920780461
swissprot,dayhoff6,13,6,3.034290331436553e-05,77115744,10.115966254987367,7.887143052944577,-2.22882320204279
swissprot,dayhoff6,14,6,5.270585893596302e-05,89053569,10.89411750537101,7.949651329368559,-2.944466176002451
swissprot,dayhoff6,15,6,6.822921401350414e-05,95282727,11.672268755754654,7.979014178198738,-3.6932545775559165
swissprot,dayhoff6,16,6,7.833495047984418e-05,98802376,12.450420006138298,7.994767388628939,-4.455652617509359
swissprot,dayhoff6,17,6,8.572650997950119e-05,101167342,13.228571256521942,8.00504033979436,-5.223530916727581
swissprot,dayhoff6,18,6,9.177590876033145e-05,103004581,14.006722506905586,8.012856539838964,-5.993865967066622
swissprot,dayhoff6,19,6,9.712206973537909e-05,104553738,14.78487375728923,8.019339564305803,-6.765534192983427
swissprot,dayhoff6,20,6,0.00010201402995021787,105911921,15.563025007672874,8.024944845217442,-7.538080162455431
swissprot,dayhoff6,21,6,0.00010649665536862198,107123556,16.341176258056517,8.029884980784617,-8.3112912772719
swissprot,dayhoff6,22,6,0.00011067104637180979,108214466,17.11932750844016,8.034285320696956,-9.085042187743205
swissprot,dayhoff6,23,6,0.00011454364476472974,109201673,17.897478758823805,8.038229291931929,-9.859249466891876
swissprot,dayhoff6,24,6,0.00011814131132607289,110097443,18.675630009207445,8.041777232651265,-10.63385277655618
swissprot,dayhoff6,25,6,0.000121483567396803,110911900,19.45378125959109,8.044978145130907,-11.408803114460182
swissprot,dayhoff6,26,6,0.0001245929968371281,111654124,20.231932509974733,8.04787476858405,-12.184057741390683
swissprot,dayhoff6,27,6,0.00012746211229530495,112330756,21.010083760358377,8.050498681749728,-12.959585078608649
swissprot,dayhoff6,28,6,0.00013012606961757548,112948106,21.78823501074202,8.052878952736283,-13.735356058005738
swissprot,dayhoff6,29,6,0.00013259162453503314,113511356,22.566386261125665,8.055039311762007,-14.511346949363658
swissprot,dayhoff6,30,6,0.00013487250874252772,114025223,23.34453751150931,8.057000930266843,-15.287536581242465
swissprot,dayhoff6,31,6,0.00013699172980926114,114494231,24.122688761892952,8.058783604510092,-16.063905157382862
swissprot,dayhoff6,32,6,0.0001389228995345534,114922054,24.900840012276596,8.06040337952748,-16.840436632749118
swissprot,dayhoff6,33,6,0.00014074667189739959,115311677,25.67899126266024,8.061873288213059,-17.617117974447183
swissprot,dayhoff6,34,6,0.00014235600065456958,115666185,26.457142513043884,8.063206411550079,-18.393936101493807
swissprot,dayhoff6,35,6,0.00014384852193756906,115988067,27.235293763427528,8.06441331075596,-19.170880452671568
swissprot,dayhoff6,36,6,0.00014522847989217476,116279589,28.01344501381117,8.065503488050682,-19.94794152576049
swissprot,dayhoff6,37,6,0.00014648920988220122,116543363,28.791596264194816,8.066487546028627,-20.72510871816619
swissprot,dayhoff6,38,6,0.0001476048947392374,116780416,29.56974751457846,8.067370017979686,-21.502377496598776
swissprot,dayhoff6,39,6,0.00014859895273723232,116993567,30.347898764962103,8.068161982317008,-22.279736782645095
swissprot,dayhoff6,40,6,0.00014952375880150789,117184571,31.126050015345747,8.06887043445797,-23.057179580887777
swissprot,dayhoff6,41,6,0.00015035234597912583,117354501,31.904201265729387,8.06949975113083,-23.834701514598557
swissprot,dayhoff6,42,6,0.00015108919502780643,117504590,32.682352516113035,8.07005483148212,-24.612297684630917
swissprot,dayhoff6,43,6,0.00015171971737541816,117636007,33.46050376649668,8.070540274528526,-25.389963491968153
swissprot,dayhoff6,44,6,0.0001522585610698348,117749571,34.23865501688032,8.07095933352771,-26.167695683352612
swissprot,dayhoff6,45,6,0.00015275081447849284,117846501,35.016806267263966,8.0713166923423,-26.945489574921666
swissprot,dayhoff6,46,6,0.00015311684208823445,117927453,35.79495751764761,8.071614918738254,-27.723342598909355
swissprot,dayhoff6,47,6,0.00015344028803154972,117993477,36.573108768031254,8.071857998990792,-28.50125076904046
swissprot,dayhoff6,48,6,0.00015369789398516728,118044953,37.35126001841489,8.072047423595123,-29.279212594819768
swissprot,dayhoff6,49,6,0.0001538965451191967,118082671,38.129411268798535,8.072186168220849,-30.057225100577686
swissprot,dayhoff6,50,6,0.00015404106365172102,118107486,38.90756251918218,8.072277425348116,-30.835285093834063
swissprot,hp2,2,2,2.5600011980803494e-34,4,0.6020599913279624,0.6020599913279624,0.0
